Social Number,first_name,last_name,gender,email,Patient ID,Care type,Insurance Type,Diagnosis Code,Diagnosis Description,Procedure Code,Procedure Description,Medication
357-46-1016,Anton,Bardsley,Male,abardsleyi@mailinator.com,0944-2620,Emergency,National,S00479,Other superficial bite of unspecified ear,0CNR8ZZ,Repair of parasternal hernia,HUMAN IMMUNOGLOBULIN G
807-07-8227,Chen,Brannan,Male,cbrannan0@mailinator.com,62211-272,Urgent,Private,V00218S,"Other ice-skates accident, sequela",0QBG0ZZ,Other operations on intestines,Phenylephrine HCl
134-26-9773,Isidor,Bridel,Male,ibridel7@mailinator.com,56062-008,Routine,National,T818,"Other complications of procedures, not elsewhere classified",0BC13ZZ,"Intravascular imaging, unspecified vessel(s)",Acetaminophen
656-67-4578,Gabriello,Decourcy,Male,gdecourcyh@mailinator.com,0259-1605,Emergency,Private,T476,"Poisoning by, adverse effect of and underdosing of antidiarrheal drugs",0B9L0ZX,Other injection of therapeutic substance into liver,incobotulinumtoxinA
707-70-6162,Tisha,Egre,Female,tegreb@mailinator.com,43857-0299,Urgent,National,S6309,Other subluxation and dislocation of wrist and hand,0VQF0ZZ,Insertion of Sengstaken tube,"Apis mellifica, Arsenicum album, Digitalis purpurea, Ferrum metallicum, Lycopodium clavatum, Rhus toxicodendron, Sambucus nigra, Strophanthus hispidus,"
576-14-3226,Hillary,Gilding,Male,hgildinge@mailinator.com,52125-575,Urgent,Private,S82299D,"Other fracture of shaft of unspecified tibia, subsequent encounter for closed fracture with routine healing",0B5N4ZZ,Thermography of other sites,Warfarin Sodium
244-49-8194,Tomlin,Jagels,Male,tjagels2@mailinator.com,52904-455,Routine,National,B998,Other infectious disease,03710GZ,Xerography of breast,"Acetaminophen,Guaifenesin, Phenylephrine HCl"
569-55-1794,Reeva,Jeakins,Female,rjeakins4@mailinator.com,15127-940,Routine,Private,T45613S,"Poisoning by thrombolytic drug, assault, sequela",0N9F0ZZ,Other reconstruction of eyelid with flaps or grafts,GUAIFENESIN
312-38-0633,Beniamino,Licciardello,Male,blicciardelloj@mailinator.com,36987-2652,Emergency,National,S60142D,"Contusion of left ring finger with damage to nail, subsequent encounter",0N9D4ZX,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, toxicology",Chinese Elm
489-94-6233,Essa,Longea,Female,elongeag@mailinator.com,0093-0130,Emergency,Private,S82441,Displaced spiral fracture of shaft of right fibula,0DL94DZ,"Diagnostic procedures on bone, not elsewhere classified, scapula, clavicle, and thorax [ribs and sternum]",Estazolam
331-52-1566,Aeriela,Mackin,Female,amackink@mailinator.com,55154-2353,Emergency,Private,O0336,Cardiac arrest following incomplete spontaneous abortion,0PWM0KZ,Lumbar sympathectomy,METOCLOPRAMIDE HYDROCHLORIDE
648-30-2935,Fernando,Matterdace,Male,fmatterdacea@mailinator.com,0517-4930,Urgent,Private,T18118,Gastric contents in esophagus causing other injury,09BC4ZZ,Open biopsy of testis,Dexamethasone Sodium Phosphate
657-02-8466,Kleon,Meadowcraft,Male,kmeadowcraft3@mailinator.com,0615-6564,Routine,National,T65891S,"Toxic effect of other specified substances, accidental (unintentional), sequela",047E3EZ,Other orbitotomy,Tizanidine
787-14-0122,Trueman,Muzzini,Male,tmuzzini9@mailinator.com,49349-857,Urgent,Private,T23461,Corrosion of unspecified degree of back of right hand,0VLG4CZ,Computer assisted surgery with MR/MRA,LAMOTRIGINE
280-77-4519,Myrvyn,Nappin,Male,mnappinc@mailinator.com,52686-256,Urgent,National,S62611A,"Displaced fracture of proximal phalanx of left index finger, initial encounter for closed fracture",0Q924ZX,Angiocardiography of right heart structures,OCTINOXATE and TITANIUM DIOXIDE
754-55-9416,Bertie,Ormrod,Male,bormrodm@mailinator.com,42508-162,Emergency,National,N988,Other complications associated with artificial fertilization,0RG437J,Other diagnostic ultrasound,Zinc Oxide
752-61-2827,Nicoline,Pandey,Female,npandeyl@mailinator.com,62750-057,Emergency,National,S72326P,"Nondisplaced transverse fracture of shaft of unspecified femur, subsequent encounter for closed fracture with malunion",07DQ0ZX,Replacement or repair of other implantable component of (total) replacement heart system,Zinc gluconate
677-67-5239,Hermie,Pritty,Male,hpritty6@mailinator.com,13709-281,Routine,National,S52335P,"Nondisplaced oblique fracture of shaft of left radius, subsequent encounter for closed fracture with malunion",0VC23ZZ,"Resection of vessel with replacement, upper limb vessels",Levmetamfetamine Nasal Decongestant
152-84-8612,Nathaniel,Santoro,Male,nsantoro5@mailinator.com,0338-0683,Routine,National,S42145K,"Nondisplaced fracture of glenoid cavity of scapula, left shoulder, subsequent encounter for fracture with nonunion",0T140Z4,Other and unspecified operations on thymus,Potassium Chloride and Dextrose Monohydrate
838-07-1284,Carmencita,Spurnier,Female,cspurnier8@mailinator.com,67938-0859,Urgent,Private,S11015D,"Open bite of larynx, subsequent encounter",01BR3ZX,Other excision or destruction of uterus and supporting structures,Octinoxate
404-07-6628,Illa,Stone,Female,istonef@mailinator.com,13537-109,Urgent,Private,O3661X9,"Maternal care for excessive fetal growth, first trimester, other fetus",06UG0JZ,Replacement of nasal packing,Octinoxate and Oxybenzone
814-42-3733,Brigitta,Szwarc,Female,bszwarcd@mailinator.com,0407-1413,Urgent,Private,Z810,Family history of intellectual disabilities,0XH80YZ,Other corneal transplant,Iohexol
753-88-5970,Templeton,Verry,Male,tverry1@mailinator.com,53808-0623,Emergency,National,W07XXXS,"Fall from chair, sequela",05V63DZ,Other heart revascularization,Metoclopramide Hydrochloride
